bookTitle	bookSeries	bookAuthors	ratingValue	ratingCount	reviewCount	Plot_Values	Plot	NumberofPages	Publishing_Date	Characters	Setting	Url
What Happened to Suzy		Carol Simms-Mitchell	5.00	9	7	{5: '9', 4: '0', 3: '0', 2: '0', 1: '0'}	"Although this story is fiction it is based on fact. The names and locations are changed. It details how one child survived abuse and neglect, how it was manifested in her behaviour and how she learned that it's never too late to heal and to grow personally. In the author's words...""if but one child is saved and put on the road to healing and recovery, then my life will not have been in vain. What happened to Suzy does not have to happen to you!"" This is a must-read book, a moving and heartbreaking example of what some children experience in their young lives."	252	September 1st 2008			https://www.goodreads.com/book/show/5206353-what-happened-to-suzy
Winged Victory		V.M. Yeates	4.16	602	48	{5: '281', 4: '201', 3: '76', 2: '26', 1: '18'}	There is no bitter snarl nor self-pity in this classic novel about the air war of 1914-1918, based very largely on the author's experiences. Combat, loneliness, fatigue, fear, comradeship, women, excitement - all are built into a vigorous and authentic structure by one of the most valiant pilots of the then Royal Flying Corps.	456	September 1st 2004			https://www.goodreads.com/book/show/53013.Winged_Victory
Anagrams		Lorrie Moore	3.94	3857	430	{5: '1263', 4: '1450', 3: '846', 2: '247', 1: '51'}	Disillusioned and loveless, a chain-smoking art history professor who spends her spare time singing in nightclubs and tending to her young daughter finds herself pursued by an erratic, would-be librettist.	228	August 31st 1997			https://www.goodreads.com/book/show/19635.Anagrams
The Rise And Fall Of The American Empire: A Re Interpretation Of History, Economics And Philosophy: 1492 2006		Rocky M. Mirza	4.25	4	0		"This objective and rigorous re-visiting of the history of the US as the world's super imperiaist and ""mock"" democracy comes at an opportune time. the book explains with logical integrity why the world is finally on the right path when it questions the true motives of Americans for invading Iraq, Afghanistan, Vietnam, Cambodia, Grenada, Cuba, Nicaragua, Panama, the Phiippines, Mexico, Canada and numerous other countries during its short history as a world power. Thos emotives, far from being its professed motives of spreading democracy and republican values, are those of military industrial complex determined to dominate the world and exploit its resources for the benefit of a small minority of Americans who owns the wealth of the US and exerts economic, military and political power in the US.  The book begins with the documentation of the exploitation of First Nations, Black Americans and poor White Americans by a small power elite, founded by the landed gentry of Virginia and the merchant class of Massachusetts, Philadelphia and New York. It explains the root cause of racism in the US and the deeply ingrained desire for war mongering in the American psyche. It explains why the positino of commander-in-chief has greater importance to American voters than the position of president and why the primary qualifications for the job of president is successful war mongering. The author takes its readers through the complicit aid of England and France in enabling the US to dominate the continent and how failure of European cooperation and two disatrous World Wars in the twentieth century enabled the US to dominate the world. The author also explains how and why the US media supports thedomestic and world wide propaganda which conditions people, especially Americans, to believe the lies of American governments and reject all objective criticisms of US war mongering, commission war crimes around the world, overthrowing of democratically elected governments, installation of ruthless dictators, the spreading of global terrorism and the arming and military training of terrorists. The widely held naivety that the US believes in freedom of the press, free speech and peaceful expression of dissent, makes it difficult, if not impossible to convince people of the ruthless methods used by the US and its military might to crush worldwide democratic dissent."		April 2nd 2007			https://www.goodreads.com/book/show/1565250.The_Rise_And_Fall_Of_The_American_Empire
Dream Reachers		['Chase Von', 'Betty Dravis']	4.70	10	5	{5: '9', 4: '0', 3: '0', 2: '1', 1: '0'}	-Dream Reachers- is a magical mix of success stories and interviews with people who have dared to stretch to reach for their dreams. From living legends to legends-in-the-making, the subjects of this book let their imaginations soar. Author Betty Dravis shares her experiences as a young journalist when her idols, like Clint Eastwood and Jane Russell, walked right out of the limelight and into her life...for brief, memorable moments. Author Chase Von, a celebrity interviewer and poet, shares his current interviews with high achievers in the arts: acting, writing, painting, photography, music and dance. As these achievers tell you in their own words why they kept stretching to reach their dreams, they enchant the readers with their determination, inspiring them to DREAM BIG. With over forty compelling stories and interviews, this literary work casts new light on what it takes to be a Dream Reacher. These are stories of how even disasters can turn into dreams, challenges into opportunities, with the right attitude of perseverance and determination. Whether you dream of walking the red carpet in Hollywood, taking the Big Apple by storm, having a cottage with a white picket fence--or all of those pleasures--this book will inspire you to -stretch- to make your dreams come true.	476	May 29th 2009			https://www.goodreads.com/book/show/6526143-dream-reachers
The Curse of Ambrose		Christen Davis	3.60	15	2	{5: '3', 4: '6', 3: '4', 2: '1', 1: '1'}	What if your dreams were consumed with someone you’ve never met? In a world that shouldn't exist? Ellie Mancini's life changes drastically when she discovers a hidden door. A door that leads into a dark world of vampires and witches. She faces fears she never knew existed and struggles with the agonizing twists of her discoveries that only continue to grow deeper and darker. She doesn't know who to trust and her only chance of getting back into her own world is with the help of the vampire who was born to protect her. 	281	June 3rd 2010			https://www.goodreads.com/book/show/6557546-the-curse-of-ambrose
Confessions of a Triple Shot Betty	Triple Shot Bettys #1	Jody Gehrman	3.74	2790	230	{5: '850', 4: '792', 3: '806', 2: '248', 1: '94'}	Geena can't wait to spend summer vacation with her two best girls: her friend Amber and her cousin Hero. All three are working at the Triple Shot Betty coffee shop together, but the moment Amber and Hero meet, the claws come out. They hate each other on sight. Geena's dream of a girl-bonding summer flies out of the window, and then threaten to disappear completely when a few cute (okay, drop-dead gorgeous) guys come along to woo the Bettys. But all is not what it seems, and in a story of mistaken identities, crazy summer high jinks, and enough romance to make Shakespeare proud, Geena and her friends learn that when Bettys unite, they can take on the most powerful force in their world: a hot guy.	255	April 17th 2008	['Ben', 'Hero (Much ado)', 'Geena', 'Amber']		https://www.goodreads.com/book/show/1248692.Confessions_of_a_Triple_Shot_Betty
Ego and the Mechanisms of Defense (The Writings of Anna Freud, Vol 2)		['Anna Freud', 'Cecil Baines']	3.89	598	38	{5: '188', 4: '221', 3: '137', 2: '40', 1: '12'}	When The Ego and the Mechanisms of Defense was first published in German in 1936 it was at once recognized as a major contribution to psychoanalytic psychology, and its translation into English quickly followed. More than half a century later it enjoys the status of a classic. Written by a pioneer of child analysis, and illustrated by fascinating clinical pictures drawn from childhood and adolescence, it discusses those adaptive measures by which painful and unwanted feeling-states are kept at bay or made more bearable.Anna Freud's arguments have a clarity and cogency reminiscent of her father's and the work is remarkable undated. Nothing stands still, but The Ego and the Mechanisms of Defense has unmistakably passed the test of time.	191	June 28th 1971			https://www.goodreads.com/book/show/229896.Ego_and_the_Mechanisms_of_Defense
The Cookbook of Everlasting Love: Sex on a Plate: Food as Foreplay		Sharon Esther Lampert	5.00	2	1		"The Cookbook of Everlasting Love SEX ON A PLATE: FOOD AS FOREPLAY Sex on a Plate: Food As Foreplay, the Cookbook of Everlasting Love possesses the power to transform enamored friends into impassioned lovers and amorous lovers into lovey-dovey soulmates. The perfect dinner date is transformed into a relationship of magnetic attraction, intimate conversation, passionate embrace, sexual desire, erotic entanglement, conjugal bliss, and eternal love.Decadent flourless love-drunk, lip-smacking, Chocolate Almond Torte served with blooming, fragrant, and scrumptious raspberries, blueberries, strawberries, and true love never die.This Cookbook of Everlasting Love does what it says and says what it does. The book is divided into 29 sections, each one devoted to bringing you closer to finding the beloved of your romantic dreams and erotic fantasies. The recipes and love potions are inspired by the classic culinary aphrodisiacs of love that have been handed down for centuries, the world over. The flourless Salome Chocolate-Cognac-Almond Truffles will have you eating the page they were written upon.This book never misses a step on the path to romance as it covers the basics of setting a romantic mood in the dining room, bathroom, and bedroom.This cookbook is filled to the brim with classic recipes, extraordinary heartfelt quotes, and magnificent vintage photographs.This cookbook is for lovers who want to find their beloved and have their love last forever until death due them part. This cookbook will make a spectacular gift for couples at any stage in a relationship."""	138	June 27th 2009			https://www.goodreads.com/book/show/7102781-the-cookbook-of-everlasting-love
Maldoror and the Complete Works		['Comte de Lautréamont', 'Alexis Lykiard']	4.28	3300	131	{5: '1755', 4: '926', 3: '448', 2: '119', 1: '52'}	Andre Breton described Maldoror as -the expression of a revelation so complete it seems to exceed human potential.- Little is known about its pseudonymous author, aside from his real name (Isidore Ducasse), birth in Uruguay (1846) and early death in Paris (1870). Lautreamont bewildered his contemporaries, but the Surrealists modeled their efforts after his black humor and poetic leaps of logic, exemplified by the oft-quoted line, -As beautiful as the chance meeting on a dissecting table of a sewing machine and an umbrella.- Maldoror 's shocked first publisher refused to bind the sheets of the original edition--and perhaps no better invitation exists to this book, which warns the reader, -Only the few may relish this bitter fruit without danger.- This is the only complete annotated collection of Lautreamont's writings available in English, in Alexis Lykiard's superior translation. For this latest edition, Lykiard updates his introduction to include recent scholarship.	352	April 28th 2010			https://www.goodreads.com/book/show/157687.Maldoror_and_the_Complete_Works
Home Wrecker		Dwayne S. Joseph	4.35	662	31	{5: '387', 4: '162', 3: '82', 2: '22', 1: '9'}	Lisette is a flawless beauty with a keen business sense. As head fashion designer for an elite firm, she has no time for drama. Besides, her co-worker and friend, Marlene, fills her in on enough drama to last her whole day. Marlene's married to an attractive philanderer named Steve. She wants to divorce him, but there are complications in doing so. If she were to actually catch him cheating on her, then all of those other complications would go away. But how? A setup, of course. A business deal is made, and Lisette, the Home Wrecker, is born. Three years later, Lisette has made a career out of helping wealthy wives stick it to their controlling, soon-to-be ex-husbands. A job like this is not only stressful but very dangerous, so her clientele is kept very exclusive. When a mysterious caller says she needs help or else bad things will start to happen, there is more at stake than possible exposure... Lisette might get a taste of her own medicine.	288	September 1st 2008		['United States of America']	https://www.goodreads.com/book/show/3248580-home-wrecker
Doubting Jesus' Resurrection: What Happened in the Black Box?		Kris D. Komarnitsky	4.08	105	12	{5: '48', 4: '31', 3: '17', 2: '4', 1: '5'}	"This highly endorsed book, written for believers, non-believers, and those who are not quite sure about Jesus' resurrection, offers a non-traditional explanation for the birth of Christianity and explains it with unusual clarity. The following excerpts are from nine endorsements on the back cover and inside title page (or just inside the title page in ebook formats): ""Clearly written and well argued, Doubting Jesus' Resurrection lays out a plausible and intriguing case for a non-supernatural explanation of the New Testament resurrection accounts"" (Robert J. Miller, Professor of Religious Studies, Juniata College). ""Komarnitsky's answers are well-documented and carefully considered, and his central thesis is intriguing. Highly recommended"" (Rev. Chuck Jones, Atlanta, Georgia). ""Komarnitsky shows great acuity of judgment and clear-eyed perception of the issues. He does not claim to have proof of what happened at Christian origins, but he does present a powerfully plausible hypothesis for what might have happened"" (Robert M. Price, Ph.D. Theology, Ph.D. New Testament). ""Komarnitsky presents a surprisingly excellent demonstration of how belief in the resurrection of Jesus could plausibly have originated by natural means"" (Richard Carrier, Ph.D. Ancient History)."	186	September 15th 2009			https://www.goodreads.com/book/show/20767932-doubting-jesus-resurrection
Quiet Storm		Natasha Conn	5.00	2	2		When the fabulous life of love, money, and cars meet dark secrets and betrayal, will all worlds collide into a flaming disaster or will it ride out into the...Quiet Storm. Meet Storm, a ghetto fabulous diva who wants it all; cars, clothes, money and she will not stop until she's a part of the Ghetto's Elite. A chance meeting with Clyde changes her life forever. But the question becomes; is she willing to pay the cost to floss? Clyde, a notorious drug dealer harboring a dark secret; he has the world at his feet; more cash than he can spend; fancy cars and the love of his hood. He has the game on lock, a beautiful do or die chick on the side, and a lieutenant who is willing to die for him. But once he meets Storm he is determined to possess her at any cost. Mercedes, Clyde's do or die chick; she'll go to any extreme to prove her love for Clyde. Even if that means accepting Storm as his main girl. However, she waits patiently on the side for Storms demise; determined to be back in the number one spot and ride all the way out with the man she loves.	194	October 15th 2009			https://www.goodreads.com/book/show/7091453-quiet-storm
في النظام السياسي للدولة الإسلامية		محمد سليم العوا	4.02	589	44	{5: '254', 4: '175', 3: '103', 2: '34', 1: '23'}	"طبعة جديدة مزيدة ومنقحة من الكتاب الهام للدكتور محمد سليم العوا ""في النظام السياسي للدولة الإسلامية"". الذي يتناول فيه العديد من القضايا المثارة الآن مثل:• موقف الإسلام من الأحزاب السياسية • حدود العلاقة بين الدين والدولة والعلماء والحكم في الدولة الإسلامية العصرية • معاملة غير المسلمين في الدولة الإسلامية المعاصرةويبدأ الدكتور العوا الكتاب بتوضيح الحالة السياسية في الجزيرة العربية قبل الإسلام فنشأة الدولة الإسلامية ثم نظام الحكم بعد وفاة الرسول وظهور الفرق السياسية. ويتناول بعد ذلك الحكومة وغايتها في الإسلام والقيم السياسية الإسلامية والقيم الدستورية الإسلامية. ثم يبحث في النظم الإسلامية السياسية الحديثة وتطور الفكر السياسي الإسلامي في المائة سنة الماضية من خلال الأفغاني ومحمد عبده وحسن البنا وسيد قطب وحسن العشماوي وحتى حزب الوسط"	352	2007		['Egypt']	https://www.goodreads.com/book/show/2907878
No Place to Call Home, the Memories of a Polish Survivor of the Soviet Gulag		['Stanley J. Kowalski', 'K. Alexandra Everist']	3.33	3	0		No Place to Call Home relates the experiences of a 19-year-old Pole who is captured by the Soviets at the beginning of World War II and sent to a Siberian concentration camp in Kolyma. It is a story that is largely forgotten in most history books today. Each prison and gulag Stanley is sent is no place to call home. In order to survive the un-survivable, the prisoners must work in collaboration with each other. Of the unknown hundreds of thousands sent to the Siberian gulags, only 583 Polish prisoners would return, one of them being Stanley Kowalski. This is his story.	272	September 15th 2009			https://www.goodreads.com/book/show/6999171-no-place-to-call-home-the-memories-of-a-polish-survivor-of-the-soviet-g
Fireflies in December	Calloway Summers #1	Jennifer Erin Valent	3.98	4197	535	{5: '1295', 4: '1779', 3: '899', 2: '176', 1: '48'}	2010 Christy Award winner!Jessilyn Lassiter never knew that hatred could lurk in the human heart until the summer of 1932 when she turned 13. When her best friend, Gemma, loses her parents in a tragic fire, Jessilyn's father vows to care for her as one of his own, despite the fact that Gemma is black and prejudice is prevalent in their southern Virginia town. Violence springs up as a ragtag band of Ku Klux Klan members unite and decide to take matters into their own hands. As tensions mount in the small community, loyalties are tested and Jessilyn is forced to say good-bye to the carefree days of her youth. Fireflies in December is the 2007 winner of the Christian Writers Guild's Operation First Novel contest.	344	January 1st 2009		['Virginia']	https://www.goodreads.com/book/show/4859743-fireflies-in-december
The Penny		['Joyce Meyer', 'Deborah Bedford']	3.93	2697	384	{5: '934', 4: '902', 3: '637', 2: '175', 1: '49'}	Jenny Blake has a theory about life: big decisions often don't amount to much, but little decisions sometimes transform everything. Her theory proves true the summer she's 14, when she makes the decision to pick up a penny embedded in asphalt and consequently ends up stopping a robbery, getting a job, and meeting someone who changes her life forever-Miss Shaw. Together they form a friendship that dares both of them to confront secrets in their pasts-secrets that threaten to destroy them. Jenny helps Miss Shaw open up to the community around her, while Miss Shaw teaches Jenny to meet even life's most painful challenges with confidence and faith. This unexpected relationship transforms them both in ways neither could have anticipated, and the ripple effect that begins that summer goes on to bring new life to the people around them, revealing how God works in the smallest details-even in something as small as THE PENNY.	243	June 12th 2007			https://www.goodreads.com/book/show/911760.The_Penny
Prayers That Open Heaven		Jamie T. Pleasant	4.18	17	9	{5: '11', 4: '2', 3: '2', 2: '0', 1: '2'}	Do you want your prayers to be heard and answered by God? Do you want to be sure your prayer time isn't wasted going through a wishful, whimsical exercise with the hope that something might happen? Do you really want to learn what happens when you pray? Do you want to know the process that takes place during prayer? If you often ask yourself these questions about prayer in your life, then Prayers That Open Heaven will unlock the secrets of prayer in your life. Apostle Jamie T. Pleasant debuts with his first book that will teach you how to develop a more powerful and effective prayer life. This book is designed for personal and small group Bible study. Each week, you'll see your prayer time with God and your overall perspective on prayer transform. Chapter exercises and key points will help you make the most of your study time as you delve into the eight truths of prayer that open heaven. Finally, get ready to see heaven open up in your life	156	November 14th 2009			https://www.goodreads.com/book/show/7160163-prayers-that-open-heaven
Safely Home		Randy Alcorn	4.43	9448	734	{5: '5785', 4: '2407', 3: '932', 2: '214', 1: '110'}	2002 Gold Medallion Award winner! Fans of Randy Alcorn will applaud this soul-stirring story of two college friends who reconnect after twenty years. One is living life apart from God in comfortable corporate America while the other is living for Christ under intense persecution in China. This stunning page-turner will convict the hearts of readers to live in the light of eternity. Royalties from sales of this book will be donated to support the persecuted Church.	416	July 27th 2001		['United States of America', 'China']	https://www.goodreads.com/book/show/290369.Safely_Home
